"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"aircraft";0,475;0,429;0,401;0,429;0,48;0,521;0;0,534;0,448;0,043;0,464;0,515
"yeah";0,615;0,759;0,331;0,36;0,598;0,474;0,331;0;0,38;0,36;0,397;0,451
"traverse";0,38;0;0,302;0,331;0,386;0,431;0,946;0,445;0,352;0,856;0,368;0,055
"surprise";0,614;0,153;0,554;0,577;0,092;0,651;0,554;0,661;0,593;0,577;0,605;0,06
"sunday";0,38;0,856;0;0,331;0,386;0,049;0,302;0,445;0,352;0,856;0,368;0,424
"spate";0,38;0,331;0;0,331;0,386;0,431;0,302;0,445;0,352;0,331;0,368;0,424
"risk";0,44;0,392;0,364;0,392;0,502;0,488;0;0,501;0,594;0,392;0,428;0,481
"record";0,38;0,856;0;0,331;0,386;0,431;0,946;0,445;0,352;0,331;0,368;0,424
"plane";0,517;0,653;0,364;0,392;0;0,488;0,364;0,501;0,412;0,653;0,428;0,481
"payload";0,44;0,653;0,364;0,392;0,502;0;0,737;0,501;0,412;0,392;0,428;0,404
"pay";0,514;0;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0,47;0,504;0,002
"milley";0,514;0,47;0,444;0,47;0,52;0;0,444;0,57;0,489;0,47;0,504;0,553
"land";0,413;0,043;0,401;0,429;0,48;0,521;0,065;0,534;0,448;0,429;0,442;0,515
"january";0,475;0,429;0;0,429;0,48;0,521;0,615;0,534;0,448;0,429;0,464;0,515
"issue";0,517;0,392;0,364;0,653;0,445;0,488;0,737;0,501;0,412;0,653;0,428;0
"international";0,408;0,759;0,174;0,36;0,598;0,458;0,174;0,471;0,38;0,759;0,397;0,492
"interest";0,197;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,243;0,519;0,215;0,596
"include";0,408;0,36;0,331;0,126;0,598;0,474;0,331;0,471;0,098;0,759;0,648;0,451
"important";0,614;0,577;0,554;0,153;0,619;0,651;0,193;0,661;0,593;0,153;0,605;0,646
"hour";0,408;0,36;0;0,36;0,414;0,458;0,847;0,471;0,38;0,759;0,397;0,451
"guy";0,56;0,281;0,494;0,519;0,565;0,125;0,494;0,612;0,537;0,005;0,551;0,596
"fuck";0,514;0,412;0,444;0,47;0,52;0,558;0,444;0,57;0,365;0,018;0,504;0,221
"florida";0,38;0,331;0,302;0,331;0,386;0,431;0,302;0,445;0,352;0,331;0,368;0
"feel";0,514;0,412;0,444;0,412;0,52;0,558;0,444;0,57;0,489;0;0,504;0,553
"cuba";0,44;0,392;0,364;0,392;0,445;0,488;0,364;0,501;0,412;0,653;0,428;0
"continental";0,38;0,013;0,302;0,182;0;0,431;0,302;0,445;0,352;0,331;0,368;0,424
"collect";0,475;0,537;0,401;0,429;0,017;0,521;0,065;0,534;0,448;0,429;0,442;0,515
"care";0,408;0;0,331;0,759;0,414;0,458;0,331;0,471;0,38;0,006;0,397;0,451
"airship";0,44;0,392;0,364;0,392;0,502;0,488;0,364;0;0,412;0,392;0,428;0,481
"admit";0,475;0,429;0,401;0,429;0;0;0,401;0,534;0,448;0,429;0,464;0,515
"activity";0,38;0,331;0;0,331;0,688;0,431;0,302;0,445;0,352;0,331;0,368;0,424
"act";0;0,36;0,331;0,36;0,414;0,458;0,331;0,436;0,697;0,759;0,397;0,451
"wind";0,44;0,392;0,364;0,392;0,502;0,015;0,364;0,011;0,412;0,653;0,428;0,404
"water";0,44;0,079;0,364;0,392;0,445;0,488;0;0,501;0,412;0,653;0,428;0,481
"usa";0,408;0,36;0,331;0,759;0,414;0,458;0,331;0,471;0,38;0,36;0,648;0
"travel";0,408;0,126;0,331;0,759;0,414;0,458;0,847;0,471;0,38;0,36;0,648;0
"top";0,475;0,429;0,401;0,429;0,48;0,521;0,401;0,534;0;0,043;0,464;0,515
"submarine";0,44;0,002;0,364;0,392;0,445;0,488;0,364;0,501;0,412;0,392;0,428;0
"straight";0,44;0,653;0;0,392;0,445;0,488;0,737;0,501;0,412;0,392;0,428;0,481
"situation";0,514;0,47;0,444;0,47;0;0,558;0,444;0,57;0,489;0,47;0,504;0,553
"side";0,413;0,429;0,615;0,429;0,48;0,521;0,401;0;0,448;0,429;0,464;0,515
"show";0,517;0,392;0,364;0,392;0,445;0;0,364;0,501;0,412;0,653;0,428;0,481
"shit";0,514;0,412;0,444;0,412;0,52;0,558;0,444;0,186;0,365;0,47;0,504;0,221
"population";0,614;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,153;0,109;0,646
"party";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0
"pacific";0,408;0,36;0,331;0,36;0,598;0,474;0,847;0;0,697;0,36;0,648;0,451
"mile";0,413;0,537;0,401;0,429;0,48;0,521;0,401;0,534;0,448;0,537;0,464;0
"matter";0,475;0,429;0,401;0,537;0,48;0,521;0,401;0,534;0,448;0;0,464;0,313
"jet";0,413;0,429;0,401;0,429;0,399;0,521;0,401;0,534;0,448;0,429;0;0,515
"fall";0,56;0,281;0,494;0,519;0,565;0,125;0,338;0,612;0,537;0,519;0,551;0,134
"easy";0,44;0,392;0,364;0,392;0,445;0,488;0;0,501;0,412;0,392;0,548;0,481
"drone";0,413;0,429;0,401;0,429;0;0,298;0,401;0,534;0,448;0,429;0,464;0,515
"donald";0,408;0,36;0,331;0;0,414;0,458;0,331;0,471;0,38;0,36;0,397;0,451
"datum";0,44;0,079;0,737;0,653;0,445;0,387;0,737;0,501;0,412;0,392;0,548;0,481
"confirm";0,413;0,429;0,401;0,429;0,399;0,298;0,615;0,005;0,448;0,429;0,464;0,515
"concern";0,44;0,392;0,737;0,392;0,445;0,488;0,737;0,501;0;0,392;0,428;0,481
"comment";0,408;0,36;0,331;0,36;0,598;0,458;0,331;0;0,003;0,36;0,397;0,451
"age";0,408;0;0,331;0,36;0,414;0,458;0,331;0,471;0,38;0,759;0,397;0,451
"woman";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,153;0,605;0,646
"wake";0,475;0;0,401;0,537;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0,313
"stop";0,44;0,079;0,364;0,653;0,445;0,387;0,364;0,501;0,412;0,002;0,428;0,481
"site";0,514;0,412;0,444;0,47;0,52;0,558;0,482;0,57;0,489;0,412;0,009;0,553
"senior";0,44;0,392;0,364;0,653;0,445;0;0,364;0,501;0,412;0,392;0,428;0,481
"send";0,305;0,47;0,444;0,47;0,52;0,558;0,444;0,186;0,012;0,412;0,504;0,553
"security";0,305;0,47;0,444;0,47;0,52;0,558;0,444;0,186;0,012;0,412;0,504;0,553
"safety";0,475;0,429;0;0,429;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0,515
"recent";0,44;0,392;0,114;0,392;0,502;0,488;0,005;0,501;0,594;0,392;0,428;0,481
"receive";0,514;0,412;0,444;0,47;0,52;0,558;0,444;0;0,365;0,47;0,504;0,553
"real";0,097;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0,128;0,577;0,605;0,646
"purpose";0,514;0,412;0,444;0,47;0,52;0,558;0,444;0,186;0,489;0,412;0,504;0,002
"pretty";0,475;0,429;0,401;0,429;0,48;0,521;0,401;0,269;0,448;0,429;0;0,515
"press";0,514;0,47;0,444;0,47;0,52;0,558;0,444;0,186;0;0,47;0,504;0,553
"presidential";0,44;0,392;0;0,392;0,445;0,488;0,364;0,501;0,412;0,392;0,428;0,481
"prc";0,475;0,429;0,401;0,429;0;0,298;0,401;0,534;0,448;0,537;0,464;0,515
"pentagon";0,475;0,429;0,401;0,429;0;0,521;0,401;0,534;0,448;0,429;0,464;0,515
"open";0,305;0,412;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0;0,504;0,553
"office";0,517;0,392;0,364;0;0,502;0,488;0,364;0,501;0,412;0,392;0,428;0,404
"nuke";0,475;0,429;0,401;0,429;0,48;0,521;0,401;0,534;0,448;0,537;0;0,515
"long";0,413;0,537;0,401;0,537;0,48;0,521;0,615;0,534;0,448;0,429;0,023;0,515
"live";0,514;0,47;0,444;0,47;0,293;0,558;0,444;0,57;0,489;0;0,504;0,553
"literally";0,56;0,519;0,494;0,519;0,187;0,601;0,494;0,612;0,537;0,005;0,215;0,596
"lie";0,56;0,281;0,494;0,519;0,187;0,601;0,494;0,109;0,537;0,281;0,551;0,596
"learn";0,44;0,392;0,364;0,392;0;0,488;0,114;0,501;0,412;0,392;0,548;0,481
"law";0,56;0,281;0,494;0,519;0,565;0,601;0,494;0,612;0,243;0,005;0,551;0,596
